session_id,season,event,track,official_lower_grain,racetools_replay_inventory,racetools_payload_validated,own_snapshot_status,high_frequency_backfill_status,notes
6324,2024,"Grand Prix of St. Petersburg","Streets of St. Petersburg",yes,yes,no,none,candidate_replay_unlicensed,"RaceTools session ZIP inventoried in 2024 annual archive"
6314,2024,"Grand Prix of Alabama","Barber Motorsports Park",yes,yes,yes,none,candidate_replay_unlicensed,"Bounded range extraction validated 3320 consecutive one-second heartbeats"
6315,2024,"Indianapolis Grand Prix Race 1","Indianapolis Motor Speedway Road Course",yes,yes,no,none,candidate_replay_unlicensed,"RaceTools session ZIP inventoried in 2024 annual archive"
6325,2024,"Indianapolis Grand Prix Race 2","Indianapolis Motor Speedway Road Course",yes,yes,no,none,candidate_replay_unlicensed,"Official Section Results parser held out corrupt session; RaceTools replay remains inventoried"
6326,2024,"Detroit Grand Prix","Detroit Downtown Street Circuit",yes,yes,no,none,candidate_replay_unlicensed,"RaceTools session ZIP inventoried in 2024 annual archive"
6316,2024,"Grand Prix at Road America","Road America",yes,yes,no,none,candidate_replay_unlicensed,"RaceTools session ZIP inventoried in 2024 annual archive"
6317,2024,"Grand Prix of Monterey Race 1","WeatherTech Raceway Laguna Seca",yes,yes,no,none,candidate_replay_unlicensed,"RaceTools session ZIP inventoried in 2024 annual archive"
6327,2024,"Grand Prix of Monterey Race 2","WeatherTech Raceway Laguna Seca",yes,yes,no,none,candidate_replay_unlicensed,"RaceTools session ZIP inventoried in 2024 annual archive"
6318,2024,"Grand Prix at Mid-Ohio","Mid-Ohio Sports Car Course",yes,yes,no,none,candidate_replay_unlicensed,"RaceTools session ZIP inventoried in 2024 annual archive"
6319,2024,"INDY NXT by Firestone at Iowa Speedway","Iowa Speedway",yes,yes,no,none,candidate_replay_unlicensed,"RaceTools session ZIP inventoried in 2024 annual archive"
6320,2024,"OUTFRONT Showdown","World Wide Technology Raceway",yes,yes,no,none,candidate_replay_unlicensed,"RaceTools session ZIP inventoried in 2024 annual archive"
6321,2024,"Grand Prix of Portland","Portland International Raceway",yes,yes,no,none,candidate_replay_unlicensed,"RaceTools session ZIP inventoried in 2024 annual archive"
6322,2024,"INDY NXT By Firestone at The Milwaukee Mile","The Milwaukee Mile",yes,yes,no,none,candidate_replay_unlicensed,"RaceTools session ZIP inventoried in 2024 annual archive"
6323,2024,"Music City Grand Prix","Nashville Superspeedway",yes,yes,no,none,candidate_replay_unlicensed,"RaceTools session ZIP inventoried in 2024 annual archive"
6446,2025,"Grand Prix of St. Petersburg","Streets of St. Petersburg",yes,yes,no,none,candidate_replay_unlicensed,"RaceTools session ZIP listed in 2025 event directory"
6445,2025,"Grand Prix of Alabama","Barber Motorsports Park",yes,yes,yes,none,candidate_replay_unlicensed,"Direct ZIP validated 3667 consecutive one-second heartbeats"
6444,2025,"Indianapolis Grand Prix Race 1","Indianapolis Motor Speedway Road Course",yes,yes,no,none,candidate_replay_unlicensed,"Use clean 2025-05-09 ZIP; exclude contaminated 2025-05-10 duplicate containing 22 mixed NXT/INDYCAR session markers"
6443,2025,"Indianapolis Grand Prix Race 2","Indianapolis Motor Speedway Road Course",yes,yes,no,none,candidate_replay_unlicensed,"RaceTools session ZIP listed in 2025 event directory"
6455,2025,"Detroit Grand Prix","Detroit Downtown Street Circuit",yes,yes,no,none,candidate_replay_unlicensed,"RaceTools session ZIP listed in 2025 event directory"
6454,2025,"INDY NXT by Firestone at World Wide Technology Raceway","World Wide Technology Raceway",yes,yes,no,none,candidate_replay_unlicensed,"RaceTools session ZIP listed in 2025 event directory"
