sourceId,sourceType,sourceName,confidenceTier,url,hasUrl,linkedUrlCount,retrievedAt,publishedAt,accessedBy,parser,hasRawArtifact,rawArtifactPath,coverage,licenseNotes,notes,sourceHash
source_track_metadata_autodromo_internacional_do_algarve,official_page,Autodromo Internacional do Algarve track metadata source pack,high,https://www.autodromodoalgarve.com/,yes,2,2026-07-11T20:47:16.634Z,,scripts/backfill-track-metadata.mjs,scripts/backfill-track-metadata.mjs,yes,data/career/raw/track-metadata/track-metadata.v1.json,Layout/location metadata for Autodromo Internacional do Algarve. Primary layout source: https://www.autodromodoalgarve.com/. Coordinate source: https://en.wikipedia.org/wiki/Algarve_International_Circuit.,"Public track/circuit metadata sources; store extracted facts, source URLs, and provenance only.","Official venue identity plus public circuit record used for Portimao Grand Prix layout length, direction, coordinates, and 15-turn count.",900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
source_track_metadata_autodromo_nazionale_monza,official_page,Autodromo Nazionale Monza track metadata source pack,high,https://www.formula1.com/en/information/italy-autodromo-nazionalemonza.FiJN1jnQlRLeHqOxIt13m,yes,2,2026-07-11T20:47:16.634Z,,scripts/backfill-track-metadata.mjs,scripts/backfill-track-metadata.mjs,yes,data/career/raw/track-metadata/track-metadata.v1.json,Layout/location metadata for Autodromo Nazionale Monza. Primary layout source: https://www.formula1.com/en/information/italy-autodromo-nazionalemonza.FiJN1jnQlRLeHqOxIt13m. Coordinate source: https://www.monzanet.it/.,"Public track/circuit metadata sources; store extracted facts, source URLs, and provenance only.",Formula 1 Monza page confirms 5.793 km circuit length; support-series/F1 circuit references confirm 11-turn clockwise Grand Prix layout.,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
source_track_metadata_barber_motorsports_park,official_page,Barber Motorsports Park track metadata source pack,high,https://www.imsa.com/nascar-tracks/barber-motorsports-park/,yes,2,2026-07-11T20:47:16.634Z,,scripts/backfill-track-metadata.mjs,scripts/backfill-track-metadata.mjs,yes,data/career/raw/track-metadata/track-metadata.v1.json,Layout/location metadata for Barber Motorsports Park. Primary layout source: https://www.imsa.com/nascar-tracks/barber-motorsports-park/. Coordinate source: https://justtrackit.net/tracks/barber-motorsports/guide.,"Public track/circuit metadata sources; store extracted facts, source URLs, and provenance only.",IMSA page confirms 2.38 mile length and clockwise direction; public track guide supplies coordinates and 16-turn detail.,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
source_track_metadata_brands_hatch_gp,official_page,Brands Hatch Circuit track metadata source pack,high,https://www.brandshatch.co.uk/circuit-information.aspx,yes,1,2026-07-11T20:47:16.634Z,,scripts/backfill-track-metadata.mjs,scripts/backfill-track-metadata.mjs,yes,data/career/raw/track-metadata/track-metadata.v1.json,Layout/location metadata for Brands Hatch GP. Primary layout source: https://www.brandshatch.co.uk/circuit-information.aspx. Coordinate source: https://www.brandshatch.co.uk/circuit-information.aspx.,"Public track/circuit metadata sources; store extracted facts, source URLs, and provenance only.",MSV/Brands Hatch circuit information used for layout metadata.,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
source_track_metadata_brands_hatch_indy,official_page,Brands Hatch Circuit track metadata source pack,high,https://www.brandshatch.co.uk/about/circuit-map,yes,1,2026-07-11T20:47:16.634Z,,scripts/backfill-track-metadata.mjs,scripts/backfill-track-metadata.mjs,yes,data/career/raw/track-metadata/track-metadata.v1.json,Layout/location metadata for Brands Hatch Indy. Primary layout source: https://www.brandshatch.co.uk/about/circuit-map. Coordinate source: https://www.brandshatch.co.uk/about/circuit-map.,"Public track/circuit metadata sources; store extracted facts, source URLs, and provenance only.",MSV/Brands Hatch circuit map confirms Indy layout length and 2 left plus 5 right corners. Same venue coordinates as GP layout.,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
source_track_metadata_cadwell_park_full,official_page,Cadwell Park Circuit track metadata source pack,high,https://brscc.co.uk/circuits/cadwell-park-circuit/,yes,3,2026-07-11T20:47:16.634Z,,scripts/backfill-track-metadata.mjs,scripts/backfill-track-metadata.mjs,yes,data/career/raw/track-metadata/track-metadata.v1.json,Layout/location metadata for Cadwell Park. Primary layout source: https://brscc.co.uk/circuits/cadwell-park-circuit/. Direction source: https://motoristo.com/circuits/uk/cadwell-park. Coordinate source: https://www.racingcircuits.info/europe/united-kingdom/cadwell-park.html.,"Public track/circuit metadata sources; store extracted facts, source URLs, and provenance only.",BRSCC page confirms Cadwell Park Circuit location and 2.187 mile length; TSL 2020 Champion of Cadwell book uses 2.1869 miles for the timed layout; public circuit references supply coordinates and clockwise direction.,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
source_track_metadata_circuit_de_barcelona_catalunya,official_page,Circuit de Barcelona-Catalunya track metadata source pack,high,https://www.fia.com/sites/default/files/media_kit_eng.pdf,yes,2,2026-07-11T20:47:16.634Z,,scripts/backfill-track-metadata.mjs,scripts/backfill-track-metadata.mjs,yes,data/career/raw/track-metadata/track-metadata.v1.json,Layout/location metadata for Circuit de Barcelona-Catalunya. Primary layout source: https://www.fia.com/sites/default/files/media_kit_eng.pdf. Coordinate source: https://www.circuitcat.com/.,"Public track/circuit metadata sources; store extracted facts, source URLs, and provenance only.",FIA media kit confirms 4.657 m Grand Prix track and 14 bends; official circuit site used for venue identity/location.,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
source_track_metadata_circuit_de_spa_francorchamps,official_page,Circuit de Spa-Francorchamps track metadata source pack,high,https://www.formula1.com/en/racing/2026/Belgium,yes,2,2026-07-11T20:47:16.634Z,,scripts/backfill-track-metadata.mjs,scripts/backfill-track-metadata.mjs,yes,data/career/raw/track-metadata/track-metadata.v1.json,Layout/location metadata for Circuit de Spa-Francorchamps. Primary layout source: https://www.formula1.com/en/racing/2026/Belgium. Coordinate source: https://www.spa-francorchamps.be/.,"Public track/circuit metadata sources; store extracted facts, source URLs, and provenance only.",Matches existing Spa GP track metadata for the duplicated Euroformula track id; official circuit/F1 references used for layout and venue identity.,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
source_track_metadata_circuit_paul_ricard,official_page,Circuit Paul Ricard track metadata source pack,high,https://www.circuitpaulricard.com/,yes,2,2026-07-11T20:47:16.634Z,,scripts/backfill-track-metadata.mjs,scripts/backfill-track-metadata.mjs,yes,data/career/raw/track-metadata/track-metadata.v1.json,Layout/location metadata for Circuit Paul Ricard. Primary layout source: https://www.circuitpaulricard.com/. Coordinate source: https://en.wikipedia.org/wiki/Circuit_Paul_Ricard.,"Public track/circuit metadata sources; store extracted facts, source URLs, and provenance only.","Official circuit identity plus public/F1 references used for the 5.842 km, 15-turn Grand Prix layout.",900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
source_track_metadata_donington_park_gp,official_page,Donington Park track metadata source pack,high,https://www.donington-park.co.uk/circuit-information.aspx,yes,1,2026-07-11T20:47:16.634Z,,scripts/backfill-track-metadata.mjs,scripts/backfill-track-metadata.mjs,yes,data/career/raw/track-metadata/track-metadata.v1.json,Layout/location metadata for Donington Park GP. Primary layout source: https://www.donington-park.co.uk/circuit-information.aspx. Coordinate source: https://www.donington-park.co.uk/circuit-information.aspx.,"Public track/circuit metadata sources; store extracted facts, source URLs, and provenance only.",MSV/Donington circuit information used for layout metadata.,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
source_track_metadata_euromarque_motorsport_park,official_page,Euromarque Motorsport Park track metadata source pack,high,https://motorsport.org.nz/wp-content/uploads/CRO004-Circuit-Maps.pdf,yes,2,2026-07-11T20:47:16.634Z,,scripts/backfill-track-metadata.mjs,scripts/backfill-track-metadata.mjs,yes,data/career/raw/track-metadata/track-metadata.v1.json,Layout/location metadata for Euromarque Motorsport Park. Primary layout source: https://motorsport.org.nz/wp-content/uploads/CRO004-Circuit-Maps.pdf. Coordinate source: https://en.wikipedia.org/wiki/Euromarque_Motorsport_Park.,"Public track/circuit metadata sources; store extracted facts, source URLs, and provenance only.",MotorSport New Zealand circuit map confirms 3.33 km anti-clockwise Ruapuna layout; public circuit record supplies coordinates and 11-turn count.,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
